Nome,Parâmetro de Hurst,Dimensão Fractal
cubic_apache2_2000n_100c_1vram.txt,0.8041746,1.060583
cubic_nginx_10000n_500c_1vram.txt,0.7821878,0.7821878
cubic_apache2_10000n_500c_1vram.txt,0.7996072,1.096593
cubic_nginx_20000n_1000c_1vram.txt,0.7881396,1.020588
cubic_nginx_2000n_100c_1vram.txt,0.7931757,1.010127
cubic_apache2_20000n_1000c_1vram.txt,0.6911804,1.391398
bic_apache2_20000n_1000c_1vram.txt,0.6771342,1.032023
bic_nginx_20000n_1000c_1vram.txt,0.8071297,1
bic_apache2_10000n_500c_1vram.txt,0.8100015,1.09033
bic_nginx_10000n_500c_1vram.txt,0.7893584,1.01688
bic_nginx_2000n_100c_1vram.txt,0.7872644,1
bic_apache2_2000n_100c_1vram.txt,0.7949359,1.213379
westwood_nginx_20000n_1000c_1vram.txt,0.8013866,1.016099
westwood_apache2_2000n_100c_1vram.txt,0.7627231,1.292687
westwood_nginx_10000n_500c_1vram.txt,0.7871164,1
westwood_apache2_10000n_500c_1vram.txt,0.7879496,1.060545
westwood_nginx_2000n_100c_1vram.txt,0.8090937,1
westwood_apache2_20000n_1000c_1vram.txt,0.7330596,1.221766
htcp_apache2_2000n_100c_1vram.txt,0.7999867,1.048202
htcp_nginx_2000n_100c_1vram.txt,0.7804191,1
htcp_apache2_20000n_1000c_1vram.txt,0.7066117,1.392017
htcp_nginx_10000n_500c_1vram.txt,0.7936452,1.010076
htcp_apache2_10000n_500c_1vram.txt,0.8081514,1.193456
htcp_nginx_20000n_1000c_1vram.txt,0.80627,1
hybla_apache2_10000n_500c_1vram.txt,0.7826475,1.112856
hybla_apache2_20000n_1000c_1vram.txt,0.7350411,1.390288
hybla_apache2_2000n_100c_1vram.txt,0.8066766,1.156921
hybla_nginx_10000n_500c_1vram.txt,1.156921,1.059283
hybla_nginx_2000n_100c_1vram.txt,0.7991606,1.01737
hybla_nginx_20000n_1000c_1vram.txt,0.8088985,1.011276
vegas_nginx_2000n_100c_1vram.txt,0.8042714,1.011217
vegas_apache2_20000n_1000c_1vram.txt,0.6857032,1.384811
vegas_nginx_10000n_500c_1vram.txt,0.7886095,1
vegas_apache2_2000n_100c_1vram.txt,0.803972,1.062046
vegas_apache2_10000n_500c_1vram.txt,0.8054933,1.073462
vegas_nginx_20000n_1000c_1vram.txt,0.8025333,1
nv_apache2_20000n_1000c_1vram.txt,0.7250804,1.405715
nv_nginx_20000n_1000c_1vram.txt,0.8022927,1.011688
nv_nginx_10000n_500c_1vram.txt,0.7585938,1.030571
nv_apache2_2000n_100c_1vram.txt,0.7873582,1.156086
nv_nginx_2000n_100c_1vram.txt,0.8059898,1.01226
nv_apache2_10000n_500c_1vram.txt,0.8139604,1.034554
scalable_nginx_10000n_500c_1vram.txt,0.7666421,1
scalable_nginx_2000n_100c_1vram.txt,0.7741975,1
