Nome,Req. Por Segundo,Tempo por Req.,Taxa de Transferencia,Tempo levado para testes,Parâmetro de Hurst,Dimensão Fractal
cubic_apache2_2000n_100c_1vram.txt,321.67,3109,143.56,6218,0.8041746,1.060583
cubic_nginx_10000n_500c_1vram.txt,686.65,1456,215.25,14564,0.7821878,0.7821878
cubic_apache2_10000n_500c_1vram.txt,318.30,3142,142.05,31417,0.7996072,1.096593
cubic_nginx_20000n_1000c_1vram.txt,708.44,1412,222.08,28231,0.7881396,1.020588
cubic_nginx_2000n_100c_1vram.txt,777.14,1287,243.62,2574,0.7931757,1.010127
cubic_apache2_20000n_1000c_1vram.txt,315.92,3165,140.99,63308,0.6911804,1.391398
bic_apache2_20000n_1000c_1vram.txt,286.34,3492,127.79,69847,0.6771342,1.032023
bic_nginx_20000n_1000c_1vram.txt,692.50,1444,217.08,28881,0.8071297,1
bic_apache2_10000n_500c_1vram.txt,327.74,3051,146.27,30512,0.8100015,1.09033
bic_nginx_10000n_500c_1vram.txt,744.96,1342,233.53,13424,0.7893584,1.01688
bic_nginx_2000n_100c_1vram.txt,750.56,1332,235.28,2665,0.7872644,1
bic_apache2_2000n_100c_1vram.txt,313.58,3189,139.95,6378,0.7949359,1.213379
westwood_nginx_20000n_1000c_1vram.txt,691.75,1446,216.85,28912,0.8013866,1.016099
westwood_apache2_2000n_100c_1vram.txt,326.59,3062,145.75,6124,0.7627231,1.292687
westwood_nginx_10000n_500c_1vram.txt,735.74,1359,230.64,13592,0.7871164,1
westwood_apache2_10000n_500c_1vram.txt,317.22,3152,141.57,31524,0.7879496,1.060545
westwood_nginx_2000n_100c_1vram.txt,771.32,1296,241.79,2593,0.8090937,1
westwood_apache2_20000n_1000c_1vram.txt,326.71,3061,145.81,61216,0.7330596,1.221766
htcp_apache2_2000n_100c_1vram.txt,313.45,3190,139.89,6381,0.7999867,1.048202
htcp_nginx_2000n_100c_1vram.txt,758.04,1319,237.63,2638,0.7804191,1
htcp_apache2_20000n_1000c_1vram.txt,325.74,3070,145.37,61398,0.7066117,1.392017
htcp_nginx_10000n_500c_1vram.txt,731.38,1367,229.27,13673,0.7936452,1.010076
htcp_apache2_10000n_500c_1vram.txt,333.47,2999,148.82,29988,0.8081514,1.193456
htcp_nginx_20000n_1000c_1vram.txt,758.82,1318,229.44,26357,0.80627,1
hybla_apache2_10000n_500c_1vram.txt,325.37,3073,145.21,30734,0.7826475,1.112856
hybla_apache2_20000n_1000c_1vram.txt,325.42,3073,145.23,61460,0.7350411,1.390288
